ID de registro,Nombre de la empresa,Dominio del sitio web,Industria del cliente,Ciudad,País,Segmento de cliente,Sub-línea de producto
58453643388,Descanso Estrella S.A.C.,descansoestrella.com,Colchonería,Lima,Perú,Mediano,Dormo
58420812625,Mobiliario Ejecutivo S.A.,mobiliarioejecutivo.com,Muebles,Cuenca,Ecuador,Mediano,Confort
58422061870,Sueño Real Cía. Ltda.,suenoreal.com,Colchonería,Quito,Ecuador,Bajo,Dormo
58442961714,Estilo Moderna S.A.,estilomoderna.com,Tapicería,Quito,Ecuador,Bajo,Confort
58414272029,Sueño Total Cía. Ltda.,suenototal.com,Colchonería,Cuenca,Ecuador,Bajo,Dormo
58443577496,Muebles Ejecutivo S.A.C.,mueblesejecutivo.com,Muebles,Lima,Perú,Alto,Confort
58438439729,Ingeniería Industrial S.A.,ingenieriaindustrial.com,Construcción/Aislamiento,Quito,Ecuador,Mediano,Acústica
58431026544,Decoraciones Elegance S.A.,decoracioneselegance.com,Tapicería,Quito,Ecuador,Bajo,Confort
58452719374,Sueño Ensueño Cía. Ltda.,suenoensueno.com,Colchonería,Quito,Ecuador,Mediano,Dormo
58447218532,Maderas Estrella Cía. Ltda.,maderasestrella.com,Muebles,Quito,Ecuador,Bajo,Confort
58446907401,Autopartes Nacional S.A.C.,autopartesnacional.com,Automotriz,Lima,Perú,Mediano,Auto
58418474850,Decoraciones Moderna S.A.,decoracionesmoderna.com,Tapicería,Quito,Ecuador,Bajo,Confort
58428559159,Aislamientos Confiable S.A.C.,aislamientosconfiable.com,Construcción/Aislamiento,Lima,Perú,Bajo,Acústica
58453491310,Decoraciones Ejecutiva Cía. Ltda.,decoracionesejecutiva.com,Tapicería,Cuenca,Ecuador,Bajo,Confort
58422371730,Autopartes Industrial Cía. Ltda.,autopartesindustrial.com,Automotriz,Quito,Ecuador,Mediano,Auto
58435959572,Mobiliario Real S.A.S.,mobiliarioreal.com,Muebles,Barranquilla,Colombia,Mediano,Confort
58420355504,Autopartes Confiable S.A.S.,autopartesconfiable.com,Automotriz,Barranquilla,Colombia,Bajo,Auto
58440510777,Autopartes Premium Cía. Ltda.,autopartespremium.com,Automotriz,Cuenca,Ecuador,Mediano,Auto
58446753053,Ingeniería Central S.A.S.,ingenieriacentral.com,Construcción/Aislamiento,Barranquilla,Colombia,Alto,Acústica
58423903606,Decoraciones Clásica S.A.S.,decoracionesclasica.com,Tapicería,Barranquilla,Colombia,Bajo,Confort
58450450323,Construcciones Premium S.A.C.,construccionespremium.com,Construcción/Aislamiento,Lima,Perú,Alto,Acústica
58418785110,Ingeniería Total S.A.C.,ingenieriatotal.com,Construcción/Aislamiento,Lima,Perú,Bajo,Acústica
58451975801,Muebles Estrella S.A.S.,mueblesestrella.com,Muebles,Barranquilla,Colombia,Mediano,Confort
58435189330,Componentes Premium Cía. Ltda.,componentespremium.com,Automotriz,Cuenca,Ecuador,Alto,Auto
58423903607,Colchones Confort Plus S.A.C.,colchonesconfortplus.com,Colchonería,Lima,Perú,Mediano,Dormo
58452870966,Componentes Técnica Cía. Ltda.,componentestecnica.com,Automotriz,Quito,Ecuador,Mediano,Auto
58433019283,Descanso Confort Plus S.A.,descansoconfortplus.com,Colchonería,Cuenca,Ecuador,Mediano,Dormo
58436289794,Muebles Moderno S.A.,mueblesmoderno.com,Muebles,Cuenca,Ecuador,Bajo,Confort
58440038945,Componentes Central S.A.C.,componentescentral.com,Automotriz,Lima,Perú,Mediano,Auto
58449237599,Construcciones Total S.A.,construccionestotal.com,Construcción/Aislamiento,Quito,Ecuador,Alto,Acústica
58443419564,Decoraciones Real S.A.C.,decoracionesreal.com,Tapicería,Lima,Perú,Alto,Confort
58446753052,Construcciones Nacional S.A.,construccionesnacional.com,Construcción/Aislamiento,Quito,Ecuador,Mediano,Acústica
58435342857,Decoraciones Total S.A.S.,decoracionestotal.com,Tapicería,Barranquilla,Colombia,Alto,Confort
58428407920,Tapicería Premium S.A.S.,tapiceriapremium.com,Tapicería,Barranquilla,Colombia,Bajo,Confort
58417539255,Construcciones Prime S.A.S.,construccionesprime.com,Construcción/Aislamiento,Barranquilla,Colombia,Alto,Acústica
